read_code,brand_name,term_description,term,quantity,dose,group,with_calcium_channel_blocker,with_diuretic
bh41.,Hypovase,HYPOVASE 500micrograms tablets,Prazosin Hydrochloride,,,Alpha-Adrenoceptor Blocking Drugs,False,False
bh42.,Hypovase,HYPOVASE 1mg tablets,Prazosin Hydrochloride,,1 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
bh43.,Hypovase,*HYPOVASE 2mg tablets,Prazosin Hydrochloride,,2 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
bh44.,Hypovase,*HYPOVASE 5mg tablets,Prazosin Hydrochloride,,5 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
bh45.,Hypovase,HYPOVASE BD STARTER PACK tablets,Prazosin Hydrochloride,,,Alpha-Adrenoceptor Blocking Drugs,False,False
bh46.,Alphavase,ALPHAVASE 500micrograms tablets,Prazosin Hydrochloride,,,Alpha-Adrenoceptor Blocking Drugs,False,False
bh47.,Alphavase,*ALPHAVASE 1mg tablets,Prazosin Hydrochloride,,1 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
bh48.,Alphavase,*ALPHAVASE 2mg tablets,Prazosin Hydrochloride,,2 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
bh49.,Alphavase,*ALPHAVASE 5mg tablets,Prazosin Hydrochloride,,5 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
bh4A.,Kentovace,KENTOVACE 500micrograms tablets,Prazosin Hydrochloride,,,Alpha-Adrenoceptor Blocking Drugs,False,False
bh4B.,Kentovace,KENTOVACE 1mg tablets,Prazosin Hydrochloride,,1 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
bh4C.,Kentovace,KENTOVACE 2mg tablets,Prazosin Hydrochloride,,2 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
bh4D.,Kentovace,KENTOVACE 5mg tablets,Prazosin Hydrochloride,,5 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
bh4v.,Prazosin Hydrochloride,PRAZOSIN HYDROCHLORIDE STARTER PACK 500micrograms+1mg tablets,Prazosin Hydrochloride,,1 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
bh4x.,Prazosin Hydrochloride,PRAZOSIN HYDROCHLORIDE 1mg tablets,Prazosin Hydrochloride,,1 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
bh4y.,Prazosin Hydrochloride,PRAZOSIN HYDROCHLORIDE 2mg tablets,Prazosin Hydrochloride,,2 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
bh4z.,Prazosin Hydrochloride,PRAZOSIN HYDROCHLORIDE 5mg tablets,Prazosin Hydrochloride,,5 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
