bnf_code,brand_name,presentation,term,quantity,dose,group,with_calcium_channel_blocker,with_diuretic
0205020G0BDAAAA,Tenex,Tenex_Tab 1mg,Guanfacine Hydrochloride,,1 mg,Centrally-Acting Antihypertensive Drugs,False,False
0205020H0AAAAAA,Methyldopa,Methyldopa_Cap 250mg,Methyldopa,,250 mg,Centrally-Acting Antihypertensive Drugs,False,False
0205020H0AAABAB,Methyldopa,Methyldopa_Susp 250mg/5ml,Methyldopa,,250 mg/5 ml,Centrally-Acting Antihypertensive Drugs,False,False
0205020H0AAACAC,Methyldopa,Methyldopa_Tab 125mg,Methyldopa,,125 mg,Centrally-Acting Antihypertensive Drugs,False,False
0205020H0AAADAD,Methyldopa,Methyldopa_Tab 250mg,Methyldopa,,250 mg,Centrally-Acting Antihypertensive Drugs,False,False
0205020H0AAAEAE,Methyldopa,Methyldopa_Tab 500mg,Methyldopa,,500 mg,Centrally-Acting Antihypertensive Drugs,False,False
0205020H0AAAFAF,Methyldopa,Methyldopa_Inj 50mg/ml 5ml Amp,Methyldopa,,50 mg/mL,Centrally-Acting Antihypertensive Drugs,False,False
0205020H0AAAGAG,Methyldopa,Methyldopa_Oral Liq @spec,Methyldopa,,,Centrally-Acting Antihypertensive Drugs,False,False
0205020H0AAAHAH,Methyldopa,Methyldopa_Liq Spec 500mg/5ml,Methyldopa,,500 mg/5 ml,Centrally-Acting Antihypertensive Drugs,False,False
0205020H0AAAIAI,Methyldopa,Methyldopa_Liq Spec 250mg/5ml,Methyldopa,,250 mg/5 ml,Centrally-Acting Antihypertensive Drugs,False,False
0205020H0AAAJAJ,Methyldopa,Methyldopa_Liq Spec 50mg/5ml,Methyldopa,,50 mg/5 ml,Centrally-Acting Antihypertensive Drugs,False,False
0205020H0AAAKAK,Methyldopa,Methyldopa_Liq Spec 60mg/5ml,Methyldopa,,60 mg/5 ml,Centrally-Acting Antihypertensive Drugs,False,False
0205020H0AAALAL,Methyldopa,Methyldopa_Liq Spec 125mg/5ml,Methyldopa,,125 mg/5 ml,Centrally-Acting Antihypertensive Drugs,False,False
0205020H0BBAAAC,Aldomet (Oral),Aldomet_Tab 125mg,Methyldopa,,125 mg,Centrally-Acting Antihypertensive Drugs,False,False
0205020H0BBABAD,Aldomet (Oral),Aldomet_Tab 250mg,Methyldopa,,250 mg,Centrally-Acting Antihypertensive Drugs,False,False
0205020H0BBACAE,Aldomet (Oral),Aldomet_Tab 500mg,Methyldopa,,500 mg,Centrally-Acting Antihypertensive Drugs,False,False
0205020H0BBADAB,Aldomet (Oral),Aldomet_Susp 250mg/5ml,Methyldopa,,250 mg/5 ml,Centrally-Acting Antihypertensive Drugs,False,False
0205020H0BCAAAC,Dopamet,Dopamet_Tab 125mg,Methyldopa,,125 mg,Centrally-Acting Antihypertensive Drugs,False,False
0205020H0BCABAD,Dopamet,Dopamet_Tab 250mg,Methyldopa,,250 mg,Centrally-Acting Antihypertensive Drugs,False,False
0205020H0BCACAE,Dopamet,Dopamet_Tab 500mg,Methyldopa,,500 mg,Centrally-Acting Antihypertensive Drugs,False,False
0205020H0BDAAAA,Medomet,Medomet_Cap 250mg,Methyldopa,,250 mg,Centrally-Acting Antihypertensive Drugs,False,False
0205020H0BDABAD,Medomet,Medomet_Tab 250mg,Methyldopa,,250 mg,Centrally-Acting Antihypertensive Drugs,False,False
